accuracy,macro_f1,rmse,confusion_matrix,experiment
0.7307249712313003,0.46875730922006537,0.7087674222439193,"[[222, 161, 51, 20, 1], [6, 36, 23, 8, 2], [2, 20, 37, 27, 3], [0, 10, 17, 87, 101], [0, 6, 48, 208, 1511]]",baseline
0.4706559263521289,0.3920176994054729,0.9328435405457398,"[[176, 208, 67, 4, 0], [3, 55, 16, 1, 0], [1, 15, 64, 9, 0], [0, 8, 48, 130, 29], [1, 27, 229, 711, 805]]",undersample+weights
0.514895793376806,0.4271823109009227,0.8389008553655461,"[[211, 193, 50, 1, 0], [2, 60, 11, 2, 0], [1, 17, 61, 9, 1], [1, 5, 45, 132, 32], [0, 14, 174, 699, 886]]",weights_only
0.43562204321697995,0.3917744002379088,1.038271909232716,"[[251, 194, 10, 0, 0], [4, 66, 5, 0, 0], [2, 29, 50, 7, 1], [0, 11, 68, 119, 17], [0, 66, 299, 759, 649]]",weights+focus
