accuracy,macro_f1,rmse,confusion_matrix,experiment
0.8693261731236416,0.6934950589484327,0.48353872456368424,"[[361, 66, 22, 6, 0], [8, 54, 9, 3, 1], [3, 17, 55, 10, 4], [1, 4, 13, 148, 49], [0, 5, 29, 96, 1643]]",baseline
0.6917274005881601,0.5609391278323764,0.7274090399463752,"[[287, 128, 38, 2, 0], [6, 61, 7, 1, 0], [3, 12, 63, 11, 0], [1, 6, 20, 161, 27], [0, 25, 112, 406, 1230]]",undersample+weights
0.8277713847334099,0.6743133924687387,0.5213607342814391,"[[345, 90, 18, 2, 0], [6, 61, 5, 2, 1], [5, 11, 64, 9, 0], [0, 4, 14, 159, 38], [0, 6, 51, 200, 1516]]",weights_only
0.7932489451476794,0.6572389862537836,0.5954867959630172,"[[372, 64, 15, 4, 0], [5, 63, 5, 2, 0], [3, 15, 66, 4, 1], [1, 6, 20, 156, 32], [1, 16, 69, 302, 1385]]",weights+focus
0.818821122618591,0.6559613666206742,0.5206610948076537,"[[320, 112, 20, 3, 0], [5, 59, 9, 2, 0], [4, 13, 60, 10, 2], [0, 5, 12, 150, 48], [0, 3, 35, 219, 1516]]",smote
