stage,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,rmse
Baseline XGB + Embeddings,0.8629331287559135,0.0,0.6841478749993343,0.0,0.480140668785493
 + Structural Features,0.9386503067484663,0.004648909376143425,0.8502259712215707,0.016344760161721462,0.5309924342541745
 + Hyperparameter Optimization,0.9424846625766872,0.0028948751668982954,0.8574942382741643,0.008538311729312154,0.49743719481074805
Hybrid Model,0.943762781186094,0.003479206950106355,0.86022673712933,0.016252962592026847,0.49846389805954017
